location,date,vaccine,total_vaccinations
Czechia,2021-04-06,Johnson&Johnson,143
Czechia,2021-04-06,Moderna,195537
Czechia,2021-04-06,Oxford/AstraZeneca,240667
Czechia,2021-04-06,Pfizer/BioNTech,1463378
Czechia,2021-04-07,Johnson&Johnson,157
Czechia,2021-04-07,Moderna,203986
Czechia,2021-04-07,Oxford/AstraZeneca,248817
Czechia,2021-04-07,Pfizer/BioNTech,1492488
Czechia,2021-04-08,Johnson&Johnson,178
Czechia,2021-04-08,Moderna,210267
Czechia,2021-04-08,Oxford/AstraZeneca,260306
Czechia,2021-04-08,Pfizer/BioNTech,1544527
Czechia,2021-04-09,Johnson&Johnson,198
Czechia,2021-04-09,Moderna,217894
Czechia,2021-04-09,Oxford/AstraZeneca,271746
Czechia,2021-04-09,Pfizer/BioNTech,1595213
Czechia,2021-04-10,Johnson&Johnson,220
Czechia,2021-04-10,Moderna,219475
Czechia,2021-04-10,Oxford/AstraZeneca,275254
Czechia,2021-04-10,Pfizer/BioNTech,1620945
Czechia,2021-04-11,Johnson&Johnson,231
Czechia,2021-04-11,Moderna,220624
Czechia,2021-04-11,Oxford/AstraZeneca,275772
Czechia,2021-04-11,Pfizer/BioNTech,1639113
Czechia,2021-04-12,Johnson&Johnson,249
Czechia,2021-04-12,Moderna,229277
Czechia,2021-04-12,Oxford/AstraZeneca,284747
Czechia,2021-04-12,Pfizer/BioNTech,1684925
Czechia,2021-04-13,Moderna,239909
Czechia,2021-04-13,Oxford/AstraZeneca,294288
Czechia,2021-04-13,Pfizer/BioNTech,1727101
Czechia,2021-04-14,Moderna,250403
Czechia,2021-04-14,Oxford/AstraZeneca,304402
Czechia,2021-04-14,Pfizer/BioNTech,1772748
Czechia,2021-04-15,Moderna,259988
Czechia,2021-04-15,Oxford/AstraZeneca,313538
Czechia,2021-04-15,Pfizer/BioNTech,1827637
Czechia,2021-04-16,Moderna,270095
Czechia,2021-04-16,Oxford/AstraZeneca,320309
Czechia,2021-04-16,Pfizer/BioNTech,1881150
Czechia,2021-04-17,Moderna,272495
Czechia,2021-04-17,Oxford/AstraZeneca,320938
Czechia,2021-04-17,Pfizer/BioNTech,1903872
Czechia,2021-04-18,Moderna,273401
Czechia,2021-04-18,Oxford/AstraZeneca,321096
Czechia,2021-04-18,Pfizer/BioNTech,1920796
Czechia,2021-04-19,Moderna,280346
Czechia,2021-04-19,Oxford/AstraZeneca,326723
Czechia,2021-04-19,Pfizer/BioNTech,1967642
Czechia,2021-04-20,Johnson&Johnson,250
Czechia,2021-04-20,Moderna,287251
Czechia,2021-04-20,Oxford/AstraZeneca,333517
Czechia,2021-04-20,Pfizer/BioNTech,2012416
Czechia,2021-04-21,Moderna,292710
Czechia,2021-04-21,Oxford/AstraZeneca,341024
Czechia,2021-04-21,Pfizer/BioNTech,2061595
Czechia,2021-04-22,Johnson&Johnson,279
Czechia,2021-04-22,Moderna,298647
Czechia,2021-04-22,Oxford/AstraZeneca,349181
Czechia,2021-04-22,Pfizer/BioNTech,2119374
Czechia,2021-04-23,Johnson&Johnson,500
Czechia,2021-04-23,Moderna,302566
Czechia,2021-04-23,Oxford/AstraZeneca,355414
Czechia,2021-04-23,Pfizer/BioNTech,2170867
Czechia,2021-04-24,Johnson&Johnson,514
Czechia,2021-04-24,Moderna,303409
Czechia,2021-04-24,Oxford/AstraZeneca,356118
Czechia,2021-04-24,Pfizer/BioNTech,2192426
Czechia,2021-04-25,Johnson&Johnson,530
Czechia,2021-04-25,Moderna,304879
Czechia,2021-04-25,Oxford/AstraZeneca,356314
Czechia,2021-04-25,Pfizer/BioNTech,2209441
Czechia,2021-04-26,Johnson&Johnson,1068
Czechia,2021-04-26,Moderna,309220
Czechia,2021-04-26,Oxford/AstraZeneca,361971
Czechia,2021-04-26,Pfizer/BioNTech,2255550
Czechia,2021-04-27,Johnson&Johnson,2001
Czechia,2021-04-27,Moderna,315572
Czechia,2021-04-27,Oxford/AstraZeneca,368695
Czechia,2021-04-27,Pfizer/BioNTech,2301863
Czechia,2021-04-28,Johnson&Johnson,3457
Czechia,2021-04-28,Moderna,324025
Czechia,2021-04-28,Oxford/AstraZeneca,375413
Czechia,2021-04-28,Pfizer/BioNTech,2356600
Czechia,2021-04-29,Johnson&Johnson,5063
Czechia,2021-04-29,Moderna,331917
Czechia,2021-04-29,Oxford/AstraZeneca,381981
Czechia,2021-04-29,Pfizer/BioNTech,2420471
Czechia,2021-04-30,Johnson&Johnson,6527
Czechia,2021-04-30,Moderna,335751
Czechia,2021-04-30,Oxford/AstraZeneca,385909
Czechia,2021-04-30,Pfizer/BioNTech,2482076
Czechia,2021-05-01,Johnson&Johnson,6633
Czechia,2021-05-01,Moderna,336965
Czechia,2021-05-01,Oxford/AstraZeneca,386174
Czechia,2021-05-01,Pfizer/BioNTech,2503230
Czechia,2021-05-02,Johnson&Johnson,6673
Czechia,2021-05-02,Moderna,337468
Czechia,2021-05-02,Oxford/AstraZeneca,386300
Czechia,2021-05-02,Pfizer/BioNTech,2523761
Czechia,2021-05-03,Johnson&Johnson,7799
Czechia,2021-05-03,Moderna,340497
Czechia,2021-05-03,Oxford/AstraZeneca,389544
Czechia,2021-05-03,Pfizer/BioNTech,2587606
Czechia,2021-05-04,Johnson&Johnson,9365
Czechia,2021-05-04,Moderna,347641
Czechia,2021-05-04,Oxford/AstraZeneca,393890
Czechia,2021-05-04,Pfizer/BioNTech,2647912
Czechia,2021-05-05,Johnson&Johnson,11344
Czechia,2021-05-05,Moderna,353335
Czechia,2021-05-05,Oxford/AstraZeneca,400171
Czechia,2021-05-05,Pfizer/BioNTech,2714649
Czechia,2021-05-06,Johnson&Johnson,13317
Czechia,2021-05-06,Moderna,358778
Czechia,2021-05-06,Oxford/AstraZeneca,407583
Czechia,2021-05-06,Pfizer/BioNTech,2789063
Czechia,2021-05-07,Johnson&Johnson,15247
Czechia,2021-05-07,Moderna,363705
Czechia,2021-05-07,Oxford/AstraZeneca,413410
Czechia,2021-05-07,Pfizer/BioNTech,2861939
Czechia,2021-05-08,Johnson&Johnson,15402
Czechia,2021-05-08,Moderna,364829
Czechia,2021-05-08,Oxford/AstraZeneca,413722
Czechia,2021-05-08,Pfizer/BioNTech,2891497
Czechia,2021-05-09,Johnson&Johnson,15414
Czechia,2021-05-09,Moderna,365906
Czechia,2021-05-09,Oxford/AstraZeneca,414155
Czechia,2021-05-09,Pfizer/BioNTech,2915431
Czechia,2021-05-10,Johnson&Johnson,17102
Czechia,2021-05-10,Moderna,371601
Czechia,2021-05-10,Oxford/AstraZeneca,420172
Czechia,2021-05-10,Pfizer/BioNTech,2980416
Czechia,2021-05-11,Johnson&Johnson,18925
Czechia,2021-05-11,Moderna,377946
Czechia,2021-05-11,Oxford/AstraZeneca,427797
Czechia,2021-05-11,Pfizer/BioNTech,3047800
Czechia,2021-05-12,Johnson&Johnson,20522
Czechia,2021-05-12,Moderna,386373
Czechia,2021-05-12,Oxford/AstraZeneca,435260
Czechia,2021-05-12,Pfizer/BioNTech,3117813
Czechia,2021-05-13,Johnson&Johnson,22037
Czechia,2021-05-13,Moderna,393808
Czechia,2021-05-13,Oxford/AstraZeneca,442282
Czechia,2021-05-13,Pfizer/BioNTech,3193582
Czechia,2021-05-14,Johnson&Johnson,23151
Czechia,2021-05-14,Moderna,399369
Czechia,2021-05-14,Oxford/AstraZeneca,448189
Czechia,2021-05-14,Pfizer/BioNTech,3267256
Czechia,2021-05-15,Johnson&Johnson,23231
Czechia,2021-05-15,Moderna,400128
Czechia,2021-05-15,Oxford/AstraZeneca,450166
Czechia,2021-05-15,Pfizer/BioNTech,3298604
Czechia,2021-05-16,Johnson&Johnson,23243
Czechia,2021-05-16,Moderna,400853
Czechia,2021-05-16,Oxford/AstraZeneca,450973
Czechia,2021-05-16,Pfizer/BioNTech,3324149
Czechia,2021-05-17,Johnson&Johnson,24129
Czechia,2021-05-17,Moderna,405863
Czechia,2021-05-17,Oxford/AstraZeneca,455633
Czechia,2021-05-17,Pfizer/BioNTech,3392026
Czechia,2021-05-18,Johnson&Johnson,25136
Czechia,2021-05-18,Moderna,413738
Czechia,2021-05-18,Oxford/AstraZeneca,461702
Czechia,2021-05-18,Pfizer/BioNTech,3461183
Czechia,2021-05-19,Johnson&Johnson,26368
Czechia,2021-05-19,Moderna,424146
Czechia,2021-05-19,Oxford/AstraZeneca,468269
Czechia,2021-05-19,Pfizer/BioNTech,3534427
Czechia,2021-05-20,Johnson&Johnson,28002
Czechia,2021-05-20,Moderna,434771
Czechia,2021-05-20,Oxford/AstraZeneca,475070
Czechia,2021-05-20,Pfizer/BioNTech,3616327
Czechia,2021-05-21,Johnson&Johnson,29431
Czechia,2021-05-21,Moderna,442779
Czechia,2021-05-21,Oxford/AstraZeneca,480887
Czechia,2021-05-21,Pfizer/BioNTech,3696312
Czechia,2021-05-22,Johnson&Johnson,29615
Czechia,2021-05-22,Moderna,444662
Czechia,2021-05-22,Oxford/AstraZeneca,482785
Czechia,2021-05-22,Pfizer/BioNTech,3735854
Czechia,2021-05-23,Johnson&Johnson,29629
Czechia,2021-05-23,Moderna,445595
Czechia,2021-05-23,Oxford/AstraZeneca,484259
Czechia,2021-05-23,Pfizer/BioNTech,3764906
Czechia,2021-05-24,Johnson&Johnson,30916
Czechia,2021-05-24,Moderna,454298
Czechia,2021-05-24,Oxford/AstraZeneca,490648
Czechia,2021-05-24,Pfizer/BioNTech,3828126
Czechia,2021-05-25,Johnson&Johnson,32699
Czechia,2021-05-25,Moderna,463125
Czechia,2021-05-25,Oxford/AstraZeneca,501868
Czechia,2021-05-25,Pfizer/BioNTech,3892289
Czechia,2021-05-26,Johnson&Johnson,34612
Czechia,2021-05-26,Moderna,473104
Czechia,2021-05-26,Oxford/AstraZeneca,512876
Czechia,2021-05-26,Pfizer/BioNTech,3972840
Czechia,2021-05-27,Johnson&Johnson,36724
Czechia,2021-05-27,Moderna,483225
Czechia,2021-05-27,Oxford/AstraZeneca,522488
Czechia,2021-05-27,Pfizer/BioNTech,4057719
Czechia,2021-05-28,Johnson&Johnson,38842
Czechia,2021-05-28,Moderna,493167
Czechia,2021-05-28,Oxford/AstraZeneca,531830
Czechia,2021-05-28,Pfizer/BioNTech,4142593
Czechia,2021-05-29,Johnson&Johnson,38990
Czechia,2021-05-29,Moderna,495794
Czechia,2021-05-29,Oxford/AstraZeneca,534311
Czechia,2021-05-29,Pfizer/BioNTech,4183586
Czechia,2021-05-30,Johnson&Johnson,39009
Czechia,2021-05-30,Moderna,496800
Czechia,2021-05-30,Oxford/AstraZeneca,536920
Czechia,2021-05-30,Pfizer/BioNTech,4216824
Czechia,2021-05-31,Johnson&Johnson,40867
Czechia,2021-05-31,Moderna,505146
Czechia,2021-05-31,Oxford/AstraZeneca,545292
Czechia,2021-05-31,Pfizer/BioNTech,4299709
Czechia,2021-06-01,Johnson&Johnson,43157
Czechia,2021-06-01,Moderna,515606
Czechia,2021-06-01,Oxford/AstraZeneca,557102
Czechia,2021-06-01,Pfizer/BioNTech,4380854
Czechia,2021-06-02,Johnson&Johnson,45625
Czechia,2021-06-02,Moderna,524975
Czechia,2021-06-02,Oxford/AstraZeneca,568671
Czechia,2021-06-02,Pfizer/BioNTech,4471988
Czechia,2021-06-03,Johnson&Johnson,48428
Czechia,2021-06-03,Moderna,534581
Czechia,2021-06-03,Oxford/AstraZeneca,580642
Czechia,2021-06-03,Pfizer/BioNTech,4563337
Czechia,2021-06-04,Johnson&Johnson,51678
Czechia,2021-06-04,Moderna,543903
Czechia,2021-06-04,Oxford/AstraZeneca,591185
Czechia,2021-06-04,Pfizer/BioNTech,4657564
Czechia,2021-06-05,Johnson&Johnson,51812
Czechia,2021-06-05,Moderna,544801
Czechia,2021-06-05,Oxford/AstraZeneca,593276
Czechia,2021-06-05,Pfizer/BioNTech,4707426
Czechia,2021-06-06,Johnson&Johnson,51894
Czechia,2021-06-06,Moderna,545342
Czechia,2021-06-06,Oxford/AstraZeneca,594218
Czechia,2021-06-06,Pfizer/BioNTech,4747910
Czechia,2021-06-07,Johnson&Johnson,55024
Czechia,2021-06-07,Moderna,553169
Czechia,2021-06-07,Oxford/AstraZeneca,603043
Czechia,2021-06-07,Pfizer/BioNTech,4844365
Czechia,2021-06-08,Johnson&Johnson,58084
Czechia,2021-06-08,Moderna,561431
Czechia,2021-06-08,Oxford/AstraZeneca,613594
Czechia,2021-06-08,Pfizer/BioNTech,4938494
Czechia,2021-06-09,Johnson&Johnson,61732
Czechia,2021-06-09,Moderna,570932
Czechia,2021-06-09,Oxford/AstraZeneca,624191
Czechia,2021-06-09,Pfizer/BioNTech,5035046
Czechia,2021-06-10,Johnson&Johnson,64845
Czechia,2021-06-10,Moderna,581164
Czechia,2021-06-10,Oxford/AstraZeneca,635110
Czechia,2021-06-10,Pfizer/BioNTech,5132884
Czechia,2021-06-11,Johnson&Johnson,67987
Czechia,2021-06-11,Moderna,590174
Czechia,2021-06-11,Oxford/AstraZeneca,643768
Czechia,2021-06-11,Pfizer/BioNTech,5230925
Czechia,2021-06-12,Johnson&Johnson,68094
Czechia,2021-06-12,Moderna,591137
Czechia,2021-06-12,Oxford/AstraZeneca,645180
Czechia,2021-06-12,Pfizer/BioNTech,5281223
Czechia,2021-06-13,Johnson&Johnson,68151
Czechia,2021-06-13,Moderna,591548
Czechia,2021-06-13,Oxford/AstraZeneca,645374
Czechia,2021-06-13,Pfizer/BioNTech,5322986
Czechia,2021-06-14,Johnson&Johnson,70559
Czechia,2021-06-14,Moderna,599804
Czechia,2021-06-14,Oxford/AstraZeneca,652898
Czechia,2021-06-14,Pfizer/BioNTech,5419917
Czechia,2021-06-15,Johnson&Johnson,72749
Czechia,2021-06-15,Moderna,610357
Czechia,2021-06-15,Oxford/AstraZeneca,661760
Czechia,2021-06-15,Pfizer/BioNTech,5513221
Czechia,2021-06-16,Johnson&Johnson,75306
Czechia,2021-06-16,Moderna,619820
Czechia,2021-06-16,Oxford/AstraZeneca,670331
Czechia,2021-06-16,Pfizer/BioNTech,5611176
Czechia,2021-06-17,Johnson&Johnson,77503
Czechia,2021-06-17,Moderna,627820
Czechia,2021-06-17,Oxford/AstraZeneca,678456
Czechia,2021-06-17,Pfizer/BioNTech,5713223
Czechia,2021-06-18,Johnson&Johnson,79560
Czechia,2021-06-18,Moderna,635853
Czechia,2021-06-18,Oxford/AstraZeneca,684273
Czechia,2021-06-18,Pfizer/BioNTech,5818322
Czechia,2021-06-19,Johnson&Johnson,79587
Czechia,2021-06-19,Moderna,637064
Czechia,2021-06-19,Oxford/AstraZeneca,684902
Czechia,2021-06-19,Pfizer/BioNTech,5867554
Czechia,2021-06-20,Johnson&Johnson,79628
Czechia,2021-06-20,Moderna,638385
Czechia,2021-06-20,Oxford/AstraZeneca,685026
Czechia,2021-06-20,Pfizer/BioNTech,5907318
Czechia,2021-06-21,Johnson&Johnson,81065
Czechia,2021-06-21,Moderna,647682
Czechia,2021-06-21,Oxford/AstraZeneca,691483
Czechia,2021-06-21,Pfizer/BioNTech,5999862
Czechia,2021-06-22,Johnson&Johnson,82685
Czechia,2021-06-22,Moderna,657203
Czechia,2021-06-22,Oxford/AstraZeneca,700085
Czechia,2021-06-22,Pfizer/BioNTech,6093824
Czechia,2021-06-23,Johnson&Johnson,84494
Czechia,2021-06-23,Moderna,668211
Czechia,2021-06-23,Oxford/AstraZeneca,708517
Czechia,2021-06-23,Pfizer/BioNTech,6187749
Czechia,2021-06-24,Johnson&Johnson,86316
Czechia,2021-06-24,Moderna,678124
Czechia,2021-06-24,Oxford/AstraZeneca,716696
Czechia,2021-06-24,Pfizer/BioNTech,6285945
Czechia,2021-06-25,Johnson&Johnson,88028
Czechia,2021-06-25,Moderna,687250
Czechia,2021-06-25,Oxford/AstraZeneca,722739
Czechia,2021-06-25,Pfizer/BioNTech,6384707
Czechia,2021-06-26,Johnson&Johnson,88068
Czechia,2021-06-26,Moderna,688756
Czechia,2021-06-26,Oxford/AstraZeneca,724392
Czechia,2021-06-26,Pfizer/BioNTech,6432270
Czechia,2021-06-27,Johnson&Johnson,88082
Czechia,2021-06-27,Moderna,689861
Czechia,2021-06-27,Oxford/AstraZeneca,724542
Czechia,2021-06-27,Pfizer/BioNTech,6471671
Czechia,2021-06-28,Johnson&Johnson,89346
Czechia,2021-06-28,Moderna,698719
Czechia,2021-06-28,Oxford/AstraZeneca,731500
Czechia,2021-06-28,Pfizer/BioNTech,6567001
Czechia,2021-06-29,Johnson&Johnson,90800
Czechia,2021-06-29,Moderna,709716
Czechia,2021-06-29,Oxford/AstraZeneca,741121
Czechia,2021-06-29,Pfizer/BioNTech,6659326
Czechia,2021-06-30,Johnson&Johnson,92157
Czechia,2021-06-30,Moderna,722075
Czechia,2021-06-30,Oxford/AstraZeneca,750206
Czechia,2021-06-30,Pfizer/BioNTech,6753756
Czechia,2021-07-01,Johnson&Johnson,93938
Czechia,2021-07-01,Moderna,733067
Czechia,2021-07-01,Oxford/AstraZeneca,759719
Czechia,2021-07-01,Pfizer/BioNTech,6843811
Czechia,2021-07-02,Johnson&Johnson,95667
Czechia,2021-07-02,Moderna,744138
Czechia,2021-07-02,Oxford/AstraZeneca,766850
Czechia,2021-07-02,Pfizer/BioNTech,6934852
Czechia,2021-07-03,Johnson&Johnson,95692
Czechia,2021-07-03,Moderna,745434
Czechia,2021-07-03,Oxford/AstraZeneca,767511
Czechia,2021-07-03,Pfizer/BioNTech,6971526
Czechia,2021-07-04,Johnson&Johnson,95703
Czechia,2021-07-04,Moderna,745953
Czechia,2021-07-04,Oxford/AstraZeneca,767569
Czechia,2021-07-04,Pfizer/BioNTech,7000330
Czechia,2021-07-05,Johnson&Johnson,95726
Czechia,2021-07-05,Moderna,746225
Czechia,2021-07-05,Oxford/AstraZeneca,767646
Czechia,2021-07-05,Pfizer/BioNTech,7032758
Czechia,2021-07-06,Johnson&Johnson,95763
Czechia,2021-07-06,Moderna,746949
Czechia,2021-07-06,Oxford/AstraZeneca,767887
Czechia,2021-07-06,Pfizer/BioNTech,7064908
Czechia,2021-07-07,Johnson&Johnson,96752
Czechia,2021-07-07,Moderna,755556
Czechia,2021-07-07,Oxford/AstraZeneca,774087
Czechia,2021-07-07,Pfizer/BioNTech,7152996
Czechia,2021-07-08,Johnson&Johnson,98076
Czechia,2021-07-08,Moderna,764387
Czechia,2021-07-08,Oxford/AstraZeneca,780946
Czechia,2021-07-08,Pfizer/BioNTech,7231649
Czechia,2021-07-09,Johnson&Johnson,99512
Czechia,2021-07-09,Moderna,772525
Czechia,2021-07-09,Oxford/AstraZeneca,786264
Czechia,2021-07-09,Pfizer/BioNTech,7312631
Czechia,2021-07-10,Johnson&Johnson,99535
Czechia,2021-07-10,Moderna,773525
Czechia,2021-07-10,Oxford/AstraZeneca,786625
Czechia,2021-07-10,Pfizer/BioNTech,7349276
Czechia,2021-07-11,Johnson&Johnson,99576
Czechia,2021-07-11,Moderna,773966
Czechia,2021-07-11,Oxford/AstraZeneca,787048
Czechia,2021-07-11,Pfizer/BioNTech,7379779
Czechia,2021-07-12,Johnson&Johnson,100897
Czechia,2021-07-12,Moderna,784209
Czechia,2021-07-12,Oxford/AstraZeneca,792487
Czechia,2021-07-12,Pfizer/BioNTech,7458108
Czechia,2021-07-13,Johnson&Johnson,102745
Czechia,2021-07-13,Moderna,793395
Czechia,2021-07-13,Oxford/AstraZeneca,799442
Czechia,2021-07-13,Pfizer/BioNTech,7534382
Czechia,2021-07-14,Johnson&Johnson,104745
Czechia,2021-07-14,Moderna,801843
Czechia,2021-07-14,Oxford/AstraZeneca,806326
Czechia,2021-07-14,Pfizer/BioNTech,7612926
Czechia,2021-07-15,Johnson&Johnson,107101
Czechia,2021-07-15,Moderna,809464
Czechia,2021-07-15,Oxford/AstraZeneca,813433
Czechia,2021-07-15,Pfizer/BioNTech,7688731
Czechia,2021-07-16,Johnson&Johnson,109578
Czechia,2021-07-16,Moderna,817748
Czechia,2021-07-16,Oxford/AstraZeneca,818555
Czechia,2021-07-16,Pfizer/BioNTech,7771079
Czechia,2021-07-17,Johnson&Johnson,110083
Czechia,2021-07-17,Moderna,818244
Czechia,2021-07-17,Oxford/AstraZeneca,818710
Czechia,2021-07-17,Pfizer/BioNTech,7809709
Czechia,2021-07-18,Johnson&Johnson,110628
Czechia,2021-07-18,Moderna,818809
Czechia,2021-07-18,Oxford/AstraZeneca,818738
Czechia,2021-07-18,Pfizer/BioNTech,7842493
Czechia,2021-07-19,Johnson&Johnson,112106
Czechia,2021-07-19,Moderna,825591
Czechia,2021-07-19,Oxford/AstraZeneca,822826
Czechia,2021-07-19,Pfizer/BioNTech,7919093
Czechia,2021-07-20,Johnson&Johnson,114023
Czechia,2021-07-20,Moderna,832041
Czechia,2021-07-20,Oxford/AstraZeneca,828335
Czechia,2021-07-20,Pfizer/BioNTech,7991803
Czechia,2021-07-21,Johnson&Johnson,116867
Czechia,2021-07-21,Moderna,838218
Czechia,2021-07-21,Oxford/AstraZeneca,833601
Czechia,2021-07-21,Pfizer/BioNTech,8061627
Czechia,2021-07-22,Johnson&Johnson,119913
Czechia,2021-07-22,Moderna,843985
Czechia,2021-07-22,Oxford/AstraZeneca,838178
Czechia,2021-07-22,Pfizer/BioNTech,8126219
Czechia,2021-07-23,Johnson&Johnson,123027
Czechia,2021-07-23,Moderna,848863
Czechia,2021-07-23,Oxford/AstraZeneca,841047
Czechia,2021-07-23,Pfizer/BioNTech,8190250
Czechia,2021-07-24,Johnson&Johnson,124218
Czechia,2021-07-24,Moderna,849334
Czechia,2021-07-24,Oxford/AstraZeneca,841167
Czechia,2021-07-24,Pfizer/BioNTech,8222310
Czechia,2021-07-25,Johnson&Johnson,125377
Czechia,2021-07-25,Moderna,849749
Czechia,2021-07-25,Oxford/AstraZeneca,841200
Czechia,2021-07-25,Pfizer/BioNTech,8248327
Czechia,2021-07-26,Johnson&Johnson,128042
Czechia,2021-07-26,Moderna,853052
Czechia,2021-07-26,Oxford/AstraZeneca,844293
Czechia,2021-07-26,Pfizer/BioNTech,8308868
Czechia,2021-07-27,Johnson&Johnson,131342
Czechia,2021-07-27,Moderna,856629
Czechia,2021-07-27,Oxford/AstraZeneca,848526
Czechia,2021-07-27,Pfizer/BioNTech,8363860
Czechia,2021-07-28,Johnson&Johnson,135103
Czechia,2021-07-28,Moderna,859800
Czechia,2021-07-28,Oxford/AstraZeneca,852756
Czechia,2021-07-28,Pfizer/BioNTech,8416229
Czechia,2021-07-29,Johnson&Johnson,138427
Czechia,2021-07-29,Moderna,862598
Czechia,2021-07-29,Oxford/AstraZeneca,856837
Czechia,2021-07-29,Pfizer/BioNTech,8466020
Czechia,2021-07-30,Johnson&Johnson,141752
Czechia,2021-07-30,Moderna,864925
Czechia,2021-07-30,Oxford/AstraZeneca,859590
Czechia,2021-07-30,Pfizer/BioNTech,8520163
Czechia,2021-07-31,Johnson&Johnson,143312
Czechia,2021-07-31,Moderna,865228
Czechia,2021-07-31,Oxford/AstraZeneca,859790
Czechia,2021-07-31,Pfizer/BioNTech,8545024
Czechia,2021-08-01,Johnson&Johnson,144647
Czechia,2021-08-01,Moderna,865655
Czechia,2021-08-01,Oxford/AstraZeneca,859812
Czechia,2021-08-01,Pfizer/BioNTech,8564817
Czechia,2021-08-02,Johnson&Johnson,147102
Czechia,2021-08-02,Moderna,867643
Czechia,2021-08-02,Oxford/AstraZeneca,861982
Czechia,2021-08-02,Pfizer/BioNTech,8611956
Czechia,2021-08-03,Johnson&Johnson,150329
Czechia,2021-08-03,Moderna,869083
Czechia,2021-08-03,Oxford/AstraZeneca,864908
Czechia,2021-08-03,Pfizer/BioNTech,8656905
Czechia,2021-08-04,Johnson&Johnson,153312
Czechia,2021-08-04,Moderna,871285
Czechia,2021-08-04,Oxford/AstraZeneca,867439
Czechia,2021-08-04,Pfizer/BioNTech,8699079
Czechia,2021-08-05,Johnson&Johnson,156361
Czechia,2021-08-05,Moderna,873363
Czechia,2021-08-05,Oxford/AstraZeneca,869704
Czechia,2021-08-05,Pfizer/BioNTech,8745185
Czechia,2021-08-06,Johnson&Johnson,159456
Czechia,2021-08-06,Moderna,875106
Czechia,2021-08-06,Oxford/AstraZeneca,871322
Czechia,2021-08-06,Pfizer/BioNTech,8795732
Czechia,2021-08-07,Johnson&Johnson,160873
Czechia,2021-08-07,Moderna,875241
Czechia,2021-08-07,Oxford/AstraZeneca,871460
Czechia,2021-08-07,Pfizer/BioNTech,8816414
Czechia,2021-08-08,Johnson&Johnson,161959
Czechia,2021-08-08,Moderna,875334
Czechia,2021-08-08,Oxford/AstraZeneca,871473
Czechia,2021-08-08,Pfizer/BioNTech,8834254
Czechia,2021-08-09,Johnson&Johnson,164180
Czechia,2021-08-09,Moderna,876835
Czechia,2021-08-09,Oxford/AstraZeneca,872590
Czechia,2021-08-09,Pfizer/BioNTech,8884902
Czechia,2021-08-10,Johnson&Johnson,166383
Czechia,2021-08-10,Moderna,878192
Czechia,2021-08-10,Oxford/AstraZeneca,874294
Czechia,2021-08-10,Pfizer/BioNTech,8928854
Czechia,2021-08-11,Johnson&Johnson,168611
Czechia,2021-08-11,Moderna,879899
Czechia,2021-08-11,Oxford/AstraZeneca,875761
Czechia,2021-08-11,Pfizer/BioNTech,8975720
Czechia,2021-08-12,Johnson&Johnson,171101
Czechia,2021-08-12,Moderna,881606
Czechia,2021-08-12,Oxford/AstraZeneca,877025
Czechia,2021-08-12,Pfizer/BioNTech,9016331
Czechia,2021-08-13,Johnson&Johnson,173310
Czechia,2021-08-13,Moderna,883663
Czechia,2021-08-13,Oxford/AstraZeneca,877893
Czechia,2021-08-13,Pfizer/BioNTech,9060068
Czechia,2021-08-14,Johnson&Johnson,174368
Czechia,2021-08-14,Moderna,884006
Czechia,2021-08-14,Oxford/AstraZeneca,877936
Czechia,2021-08-14,Pfizer/BioNTech,9071612
Czechia,2021-08-15,Johnson&Johnson,174993
Czechia,2021-08-15,Moderna,884119
Czechia,2021-08-15,Oxford/AstraZeneca,877951
Czechia,2021-08-15,Pfizer/BioNTech,9083196
Czechia,2021-08-16,Johnson&Johnson,176892
Czechia,2021-08-16,Moderna,885868
Czechia,2021-08-16,Oxford/AstraZeneca,878627
Czechia,2021-08-16,Pfizer/BioNTech,9120845
Czechia,2021-08-17,Johnson&Johnson,178865
Czechia,2021-08-17,Moderna,887295
Czechia,2021-08-17,Oxford/AstraZeneca,879535
Czechia,2021-08-17,Pfizer/BioNTech,9151257
Czechia,2021-08-18,Johnson&Johnson,181002
Czechia,2021-08-18,Moderna,888917
Czechia,2021-08-18,Oxford/AstraZeneca,880270
Czechia,2021-08-18,Pfizer/BioNTech,9192891
Czechia,2021-08-19,Johnson&Johnson,183463
Czechia,2021-08-19,Moderna,890414
Czechia,2021-08-19,Oxford/AstraZeneca,880972
Czechia,2021-08-19,Pfizer/BioNTech,9233791
Czechia,2021-08-20,Johnson&Johnson,186091
Czechia,2021-08-20,Moderna,892348
Czechia,2021-08-20,Oxford/AstraZeneca,881523
Czechia,2021-08-20,Pfizer/BioNTech,9277630
Czechia,2021-08-21,Johnson&Johnson,187003
Czechia,2021-08-21,Moderna,892669
Czechia,2021-08-21,Oxford/AstraZeneca,881613
Czechia,2021-08-21,Pfizer/BioNTech,9290881
Czechia,2021-08-22,Johnson&Johnson,187796
Czechia,2021-08-22,Moderna,892987
Czechia,2021-08-22,Oxford/AstraZeneca,881618
Czechia,2021-08-22,Pfizer/BioNTech,9303279
Czechia,2021-08-23,Johnson&Johnson,190315
Czechia,2021-08-23,Moderna,894477
Czechia,2021-08-23,Oxford/AstraZeneca,882031
Czechia,2021-08-23,Pfizer/BioNTech,9346147
Czechia,2021-08-24,Johnson&Johnson,192567
Czechia,2021-08-24,Moderna,895732
